id,date_scrap,heure,home,away,cote_1,cote_X,cote_2
2025-12-26_Hinckley_AFC_Atherstone_Town,2025-12-26,12:00pm,Hinckley AFC,Atherstone Town,Hinc,Draw,Athe
2025-12-26_AFC_Wulfrunians_Brocton,2025-12-26,12:30pm,AFC Wulfrunians,Brocton,AFC ,Draw,Broc
2025-12-26_Stourport_Swifts_FC_Lye_Town,2025-12-26,3:00pm,Stourport Swifts FC,Lye Town,Stou,Draw,Lye 
2025-12-26_Hanley_Town_Abbey_Hulton_United,2025-12-26,3:00pm,Hanley Town,Abbey Hulton United,Hanl,Draw,Abbe
2025-12-26_Winsford_United_Whitchurch_Alport,2025-12-26,3:00pm,Winsford United,Whitchurch Alport,Wins,Draw,Whit
2025-12-26_Tividale_Dudley_Town,2025-12-26,3:00pm,Tividale,Dudley Town,Tivi,Draw,Dudl
2025-12-26_Romulus_Coton_Green_FC,2025-12-26,3:00pm,Romulus,Coton Green FC,Romu,Draw,Coto
2025-12-26_Northwich_Victoria_1874_Northwich,2025-12-26,3:00pm,Northwich Victoria,1874 Northwich,Nort,Draw,1874
2025-12-26_Stockton_Town_FC_Hebburn_Town,2025-12-26,1:00pm,Stockton Town FC,Hebburn Town,Stoc,Draw,Hebb
2025-12-26_Whitby_Town_Morpeth_Town,2025-12-26,3:00pm,Whitby Town,Morpeth Town,Whit,Draw,Morp
2025-12-26_Ashton_United_Hyde_United,2025-12-26,3:00pm,Ashton United,Hyde United,Asht,Draw,Hyde
2025-12-26_Lancaster_City_Bamber_Bridge,2025-12-26,3:00pm,Lancaster City,Bamber Bridge,Lanc,Draw,Bamb
2025-12-26_Warrington_Rylands_Warrington_Town,2025-12-26,3:00pm,Warrington Rylands,Warrington Town,Warr,Draw,Warr
2025-12-26_Ilkeston_Town_Rushall_Olympic,2025-12-26,3:00pm,Ilkeston Town,Rushall Olympic,Ilke,Draw,Rush
2025-12-26_Guiseley_Gainsborough_Trinity,2025-12-26,3:00pm,Guiseley,Gainsborough Trinity,Guis,Draw,Gain
2025-12-26_Leek_Town_Stocksbridge_Park_Steels,2025-12-26,3:00pm,Leek Town,Stocksbridge Park Steels,Leek,Draw,Stoc
2025-12-26_West_Didsbury_&_Chorlton_Wythenshawe_Amateurs,2025-12-26,1:00pm,West Didsbury & Chorlton,Wythenshawe Amateurs,West,Draw,Wyth
2025-12-26_Padiham_Barnoldswick_Town,2025-12-26,3:00pm,Padiham,Barnoldswick Town,Padi,Draw,Barn
2025-12-26_City_of_Liverpool_South_Liverpool,2025-12-26,3:00pm,City of Liverpool,South Liverpool,City,Draw,Sout
2025-12-26_Atherton_Laburnum_Rovers_Burscough,2025-12-26,3:00pm,Atherton Laburnum Rovers,Burscough,Athe,Draw,Burs
2025-12-26_Euxton_Villa_Charnock_Richard,2025-12-26,3:00pm,Euxton Villa,Charnock Richard,Euxt,Draw,Char
2025-12-26_Irlam_Glossop_North_End,2025-12-26,3:00pm,Irlam,Glossop North End,Irla,Draw,Glos
2025-12-26_Pilkington_XXX_St_Helens,2025-12-26,3:00pm,Pilkington XXX,St Helens,Pilk,Draw,St H
2025-12-26_Chadderton_Prestwich_Heys,2025-12-26,3:00pm,Chadderton,Prestwich Heys,Chad,Draw,Pres
2025-12-26_Worcester_City_Halesowen_Town,2025-12-26,3:00pm,Worcester City,Halesowen Town,Worc,Draw,Hale
2025-12-26_Gosport_Borough_Havant_&_Waterlooville,2025-12-26,3:00pm,Gosport Borough,Havant & Waterlooville,Gosp,Draw,Hava
2025-12-26_Horden_CW_Easington_Colliery,2025-12-26,7:30pm,Horden CW,Easington Colliery,Hord,Draw,Easi
2025-12-26_Whickham_FC_Birtley_Town,2025-12-26,7:30pm,Whickham FC,Birtley Town,Whic,Draw,Birt
2025-12-26_Crook_Town_AFC_Shildon_AFC,2025-12-26,7:30pm,Crook Town AFC,Shildon AFC,Croo,Draw,Shil
2025-12-26_Thornaby_West_Auckland_Town,2025-12-26,7:30pm,Thornaby,West Auckland Town,Thor,Draw,West
2025-12-26_Newcastle_Benfield_West_Allotment_Celtic,2025-12-26,7:30pm,Newcastle Benfield,West Allotment Celtic,Newc,Draw,West
2025-12-26_Whitley_Bay_North_Shields_FC,2025-12-26,7:30pm,Whitley Bay,North Shields FC,Whit,Draw,Nort
2025-12-26_Guisborough_Town_Northallerton_Town,2025-12-26,7:45pm,Guisborough Town,Northallerton Town,Guis,Draw,Nort
2025-12-26_Marske_United_Boro_Rangers,2025-12-26,7:45pm,Marske United,Boro Rangers,Mars,Draw,Boro
2025-12-26_Penrith_AFC_Kendal_Town,2025-12-26,7:45pm,Penrith AFC,Kendal Town,Penr,Draw,Kend
